,economy,GDP per capita (current US$),"Government expenditure on education, total (% of government expenditure)",Current health expenditure (% of GDP),Gini index,"Life expectancy at birth, total (years)",year,region,ncomelvl,incomelvl
1578,IDB,1729.91982930792,13.9060519596099,,,62.4621643327349,2023,,,
1579,IDB,1565.83627113068,16.9715527068751,,,,2024,,,
1595,IDX,875.365651321211,16.1728191375732,4.3599451292677,,62.0443451288407,2010,,,
1596,IDX,960.849916561978,15.6959047317504,4.22751596604935,,62.4337521235987,2011,,,
1597,IDX,944.953146548279,15.8554248809814,4.25363454985739,,62.9600748198823,2012,,,
1598,IDX,1003.61549472905,16.1748008728027,4.45868714722811,,63.3857727829593,2013,,,
1599,IDX,1046.78539713604,15.63267993927,4.43073612584337,,63.6082110225495,2014,,,
1600,IDX,1023.94411088699,16.2116394042969,4.4724324698185,,63.8821179927396,2015,,,
1601,IDX,1058.23347491943,15.831259727478,4.28518581870696,,64.3101407903027,2016,,,
1602,IDX,1116.07416051941,15.6525497436523,4.09104706676024,,64.6098588988294,2017,,,
1603,IDX,1160.50418891873,15.8886226898467,3.97384021999127,,65.172890099339,2018,,,
1604,IDX,1194.07215693518,14.2921084679586,3.97315097159211,,65.5828691146811,2019,,,
1605,IDX,1179.86645615956,14.3359003067017,4.14955694023896,,65.411479068422,2020,,,
1606,IDX,1254.09572124934,14.909051739396,4.23491844689983,,64.8764634139942,2021,,,
1607,IDX,1330.40253875948,13.7557069120555,4.12458565126573,,66.3600605315493,2022,,,
1608,IDX,1319.43444336952,14.8236041330292,,,67.0538318903115,2023,,,
1609,IDX,1387.92937311476,13.4080981163871,,,,2024,,,
1893,LAC,8637.62473414238,15.9606747627259,7.23986343958014,,73.1190309784384,2010,,,
1894,LAC,9979.98044298679,15.423680305481,7.14991878807464,,73.6885627028693,2011,,,
1895,LAC,9823.23365099871,16.4788309434803,7.14693000341254,,73.9499064237775,2012,,,
1896,LAC,9971.16512159061,16.7128218955019,7.28965897135656,,74.169347496487,2013,,,
1897,LAC,9905.72186751887,17.1788854598999,7.43427275378918,,74.3770523065952,2014,,,
1898,LAC,8307.33369621788,17.9547243118286,7.79946436435624,,74.5553955667316,2015,,,
1899,LAC,7975.72164827005,17.9393291473389,7.83703135797356,,74.5306460760941,2016,,,
1900,LAC,8811.13555430764,17.9492292404175,8.02736355029074,,74.7006534427421,2017,,,
1901,LAC,8468.20128438484,17.1521797180176,7.86565597108048,,74.8906731016397,2018,,,
1902,LAC,8266.47471229954,15.7699664851245,7.86937860881447,,75.0513524613511,2019,,,
1903,LAC,6892.38171560913,16.1958599090576,8.2876438164754,,72.8759217271338,2020,,,
1904,LAC,7955.36133413771,16.4124130669766,8.13535309612735,,71.4377016432982,2021,,,
1905,LAC,9093.65274220086,16.7029294967652,7.78984926933923,,74.4897262626476,2022,,,
1906,LAC,10166.928671097,15.8277639847523,,,75.4986013301866,2023,,,
1907,LAC,10344.66889924,15.4425633054721,,,,2024,,,
1983,LCN,9183.09564355141,16.1029396057129,7.2153340716158,,73.4093227755616,2010,,,
1984,LCN,10333.4116793797,15.2931151390076,7.12963842180839,,73.9248923022491,2011,,,
1985,LCN,10343.77598096,17.0783793813984,7.13187348704183,,74.1643943654901,2012,,,
1986,LCN,10490.1720152148,16.7128218955019,7.28581683311252,,74.3809772735109,2013,,,
1987,LCN,10582.047349709,16.0146243417221,7.43595035972621,,74.5608348669826,2014,,,
1988,LCN,8758.631461288,16.4394738076224,7.79627993027649,,74.7432221893097,2015,,,
1989,LCN,8460.65543617298,17.93577003479,7.85001136183537,,74.6774848833781,2016,,,
